,District,Party,Total 2020,Winner 2016,Median Age (years),"Citizen, 18 and over population",White (percent),Black or African American (percent),American Indian and Alaska Native (percent),Asian (percent),Native Hawaiian and Other Pacific Islander (percent),Other (percent),Two or more races (percent),Postsecondary (percent),Secondary or less (percent),Median Household Income (dollars)
0,AK-AL,1,357569,1,35.0,533151,64.2,3.1,15.8,6.0,1.4,1.7,7.9,62.69164691298958,37.30835308701042,75463
1,AL-01,1,331886,1,40.4,546223,66.9,27.4,1.0,1.4,0.0,1.1,2.1,53.66332680468552,46.33667319531448,50663
2,AL-02,1,306714,1,39.0,513747,62.8,32.2,0.3,1.3,0.0,1.4,1.9,54.349422192989834,45.650577807010166,50494
3,AL-03,1,324741,1,38.9,550776,68.9,26.3,0.3,1.8,0.1,1.0,1.7,55.165667391741266,44.834332608258734,51925
4,AL-04,1,320725,1,41.1,516456,86.8,7.4,0.5,0.5,0.1,3.0,1.8,48.75400511754598,51.24599488245401,47531
5,AL-05,1,364107,1,39.7,563216,75.0,18.3,0.5,1.7,0.0,1.8,2.6,61.1911655080353,38.8088344919647,59950
6,AL-06,1,370171,1,39.9,527401,78.6,16.0,0.4,1.6,0.0,1.8,1.7,66.05738332341076,33.942616676589246,69072
7,AL-07,0,297626,0,36.8,513517,34.2,62.6,0.2,1.2,0.0,0.6,1.2,50.826908587215456,49.17309141278455,38023
8,AR-01,1,271712,1,40.1,548521,77.4,17.6,0.3,0.5,0.3,0.9,3.1,46.009528195975705,53.990471804024295,43193
9,AR-02,1,333347,1,38.0,576874,70.8,23.3,0.4,1.6,0.0,1.5,2.5,59.157431832229435,40.84256816777057,53600
10,AR-03,1,335854,1,36.2,579984,83.8,3.1,1.1,3.1,1.1,4.4,3.5,56.847802464716715,43.152197535283285,54310
11,AR-04,1,278156,1,41.4,530036,74.0,19.4,0.5,0.7,0.2,3.1,1.9,47.89444328243743,52.10555671756257,43824
12,AZ-01,0,373579,1,39.0,579140,64.2,2.8,23.0,1.6,0.2,4.5,3.7,60.25562762935648,39.74437237064352,56117
13,AZ-02,0,391436,0,41.5,555917,81.8,4.3,1.4,2.8,0.2,4.6,4.8,68.21575311939212,31.784246880607885,54835
14,AZ-03,0,278497,0,32.1,498408,74.5,4.4,4.6,1.7,0.1,9.9,4.8,48.61465906857929,51.38534093142071,54583
15,AZ-04,1,411938,1,48.7,646034,87.8,1.7,2.2,1.0,0.1,3.9,3.2,57.883538683802925,42.116461316197075,55040
16,AZ-05,1,465598,1,39.3,601179,82.9,4.0,1.1,5.3,0.1,2.7,3.9,71.29379118973291,28.706208810267082,82540
17,AZ-06,1,432328,1,43.2,603700,82.6,3.0,1.9,5.7,0.1,2.9,3.7,71.74116253244028,28.258837467559715,76615
18,AZ-07,0,224168,0,30.6,472749,72.9,9.9,2.5,2.5,0.5,8.3,3.4,41.94410980157549,58.0558901984245,49066
19,AZ-08,1,438952,1,42.9,595539,82.8,5.1,1.3,3.8,0.1,3.3,3.6,66.9540922624987,33.045907737501295,73632
20,AZ-09,0,368798,0,33.3,584808,75.1,7.0,3.6,5.3,0.3,4.7,3.8,70.99246569473516,29.00753430526483,65379
21,CA-01,1,360907,1,41.1,548314,84.8,1.6,1.6,3.0,0.3,3.3,5.4,64.22247954218196,35.777520457818035,61433
22,CA-02,0,399857,0,44.9,531039,79.9,1.8,2.5,3.9,0.2,6.5,5.1,72.00825393608267,27.991746063917333,80051
23,CA-03,0,327612,0,35.5,522479,68.7,6.3,1.2,11.3,0.7,5.2,6.6,62.82677509843786,37.17322490156214,73191
24,CA-04,1,448596,1,44.9,577133,84.4,1.7,1.2,5.9,0.2,1.9,4.6,70.29929820075742,29.70070179924258,86374
25,CA-05,0,364567,0,41.5,520065,62.5,6.6,0.5,11.7,0.3,12.8,5.6,65.87441774701915,34.12558225298084,85856
26,CA-06,0,320576,0,33.9,519617,49.6,11.8,0.7,15.2,1.4,12.5,8.8,60.32902251645709,39.67097748354292,64687
27,CA-07,0,391993,0,39.1,537108,60.4,7.2,0.6,17.8,1.1,5.3,7.6,68.80386559356957,31.19613440643044,77786
28,CA-08,1,293165,1,33.4,473737,73.9,8.5,1.5,2.4,0.6,7.9,5.3,52.85295333698714,47.14704666301285,56140
29,CA-09,0,310973,0,35.7,506465,53.0,9.5,0.7,16.3,0.8,8.7,11.0,52.19557581658542,47.80442418341458,72237
30,CA-10,0,307948,0,34.8,491086,76.7,3.5,0.7,7.4,0.7,5.7,5.2,51.912110684896504,48.087889315103496,69647
31,CA-11,0,383481,0,39.8,502739,54.0,7.4,0.6,14.8,0.2,16.6,6.4,69.70514730901454,30.294852690985465,103580
32,CA-12,0,392046,0,38.0,584273,46.9,5.8,0.4,32.8,0.4,7.7,5.9,77.48982352871367,22.510176471286332,127290
33,CA-13,0,377198,0,37.0,541697,40.6,17.5,0.9,20.7,0.5,13.2,6.5,72.88522908956564,27.114770910434355,91514
34,CA-14,0,360155,0,40.1,501803,43.6,2.5,0.5,36.3,1.2,10.6,5.3,72.13100158772816,27.868998412271832,125980
35,CA-15,0,357230,0,39.2,502500,41.0,4.9,0.5,37.1,1.0,8.8,6.6,71.0818287228756,28.9181712771244,125018
36,CA-16,0,220032,0,31.0,423209,56.0,5.3,1.1,9.3,0.2,24.9,3.2,44.93589695218117,55.06410304781883,50401
37,CA-17,0,310238,0,36.7,454565,27.6,2.3,0.6,55.6,0.8,8.5,4.7,77.2504372764375,22.7495627235625,147671
38,CA-18,0,385683,0,39.7,486648,62.6,2.4,0.2,24.4,0.2,5.0,5.2,83.01438162453043,16.985618375469574,149375
39,CA-19,0,325914,0,37.4,470847,46.9,2.8,0.5,31.0,0.3,13.0,5.5,64.14028623814944,35.85971376185056,107240
40,CA-20,0,311479,0,35.6,446278,58.2,2.4,0.6,5.8,0.2,28.3,4.5,57.56144792360648,42.43855207639351,80461
41,CA-21,1,172064,0,29.8,376921,71.1,2.9,1.7,3.2,0.1,18.3,2.7,36.807183353640355,63.19281664635965,46037
42,CA-22,1,316729,1,33.0,485479,66.0,3.2,1.0,8.4,0.2,16.5,4.7,60.117869591943574,39.882130408056426,66532
43,CA-23,1,308922,1,35.1,499637,72.1,6.8,1.0,5.0,0.1,10.0,4.9,57.31379552908289,42.68620447091712,63550
44,CA-24,0,365325,0,36.5,510335,80.3,2.0,1.2,5.0,0.1,7.9,3.5,67.03262579350063,32.967374206499365,76308
45,CA-25,1,349249,0,37.2,490670,67.1,10.1,1.6,8.6,0.3,8.2,4.0,60.74636032205013,39.25363967794987,84670
46,CA-26,0,353297,0,38.4,483010,81.1,2.0,0.7,6.7,0.1,4.9,4.6,64.05023435415148,35.94976564584852,91602
47,CA-27,0,337460,0,41.5,482244,38.3,3.9,0.7,39.3,0.1,13.2,4.4,68.639514298175,31.360485701825002,90792
48,CA-28,0,356476,0,40.0,489048,67.2,2.7,0.5,15.1,0.3,9.4,4.8,71.69919094264986,28.300809057350147,74431
49,CA-29,0,252103,0,35.1,416537,58.2,4.0,0.5,7.4,0.1,26.4,3.4,48.56551246886838,51.43448753113162,60970
50,CA-30,0,376861,0,40.5,529032,61.5,4.5,0.3,12.4,0.1,16.0,5.1,72.23664302943294,27.763356970567056,89460
51,CA-31,0,296238,0,34.2,498759,60.5,11.2,0.4,8.4,0.2,14.2,5.2,57.007261465611094,42.992738534388906,70554
52,CA-32,0,283909,0,38.9,456875,50.3,2.6,0.8,19.2,0.4,21.8,4.8,51.448495917645445,48.551504082354555,71136
53,CA-33,0,414262,0,41.2,522362,71.4,3.2,0.3,16.3,0.1,3.1,5.7,85.98818459730393,14.011815402696065,117012
54,CA-34,0,239944,0,35.0,416264,34.7,5.0,1.7,20.3,0.1,34.5,3.8,50.5999064552646,49.4000935447354,52043
55,CA-35,0,255345,0,33.3,455488,52.1,5.3,1.1,7.4,0.4,28.8,5.0,48.25238199346935,51.74761800653065,73069
56,CA-36,0,310310,0,43.1,538461,71.2,4.9,1.3,3.9,0.1,15.0,3.5,55.19504652181415,44.80495347818585,58728
57,CA-37,0,326798,0,35.7,475186,50.2,21.9,0.5,9.2,0.1,14.2,3.9,64.90101963518379,35.09898036481622,69573
58,CA-38,0,315673,0,38.0,475031,41.4,4.8,0.9,16.1,0.3,32.8,3.7,56.8031393965005,43.196860603499495,79573
59,CA-39,1,351332,0,40.5,486371,51.9,1.7,0.3,32.7,0.2,9.3,3.8,70.86624722571364,29.133752774286354,96431
60,CA-40,0,203218,0,31.2,334291,55.7,5.1,1.1,1.9,0.1,34.4,1.7,34.71021659868086,65.28978340131914,51774
61,CA-41,0,266807,0,31.5,479421,46.6,9.1,0.8,6.7,0.2,33.0,3.6,49.23137557208437,50.76862442791563,69984
62,CA-42,1,375949,1,35.6,565461,61.1,6.2,0.5,9.5,0.7,16.5,5.5,62.23350369182214,37.76649630817786,90651
63,CA-43,0,292083,0,35.4,451030,43.3,20.2,0.9,12.0,0.6,18.2,4.8,56.63973355793123,43.36026644206877,66670
64,CA-44,0,240722,0,33.5,405957,45.8,14.6,0.7,6.0,0.5,28.6,3.8,43.17187704626668,56.82812295373333,59030
65,CA-45,0,418564,0,39.3,537433,61.9,1.8,0.3,26.2,0.2,4.6,4.9,81.2445259907557,18.75547400924428,115427
66,CA-46,0,233507,0,33.8,419462,50.7,2.1,0.6,13.8,0.6,29.6,2.7,47.02926343883368,52.97073656116632,71800
67,CA-47,0,326086,0,38.2,483829,52.5,6.9,0.4,23.4,0.4,12.1,4.2,62.597589825040586,37.402410174959414,72493
68,CA-48,1,401759,0,41.0,513819,62.1,1.4,0.4,19.6,0.5,11.2,4.9,72.68693511492971,27.313064885070297,100604
69,CA-49,0,393013,0,39.0,519217,80.6,2.3,0.9,6.9,0.5,3.1,5.7,72.84639042902894,27.153609570971067,100037
70,CA-50,1,370789,1,37.6,524595,78.8,2.7,1.0,5.9,0.3,5.5,5.9,63.88165323837697,36.11834676162303,78346
71,CA-51,0,248810,0,33.7,443525,68.5,6.6,1.0,7.7,0.6,11.9,3.7,47.46266779277256,52.537332207227436,52471
72,CA-52,0,406904,0,36.8,560713,66.4,3.0,0.3,20.7,0.2,3.2,6.1,82.78801422894522,17.211985771054785,106524
73,CA-53,0,386642,0,35.8,564095,62.7,8.1,0.6,15.1,0.4,7.1,6.1,72.37470119616958,27.625298803830418,82083
74,CO-01,0,473503,0,35.3,635916,78.5,7.8,0.6,3.4,0.1,5.1,4.5,72.96939607477724,27.030603925222756,77507
75,CO-02,0,530867,0,38.0,639136,90.3,1.0,0.7,3.6,0.1,1.3,3.1,80.44548729303678,19.554512706963216,87585
76,CO-03,1,436221,1,40.6,571465,89.5,0.9,2.2,1.1,0.1,3.4,2.7,64.05977126638284,35.94022873361716,59973
77,CO-04,1,487928,1,38.0,618377,89.0,1.6,0.9,2.2,0.1,2.9,3.1,65.61442000051875,34.38557999948125,83609
78,CO-05,1,441370,1,36.3,618627,80.8,6.0,1.0,2.6,0.3,3.5,5.9,70.28293369217555,29.717066307824446,71244
79,CO-06,0,447756,0,36.7,569294,73.2,9.8,0.7,6.3,0.2,5.5,4.4,69.7878297095737,30.2121702904263,87312
80,CO-07,0,439307,0,36.3,591395,85.4,1.8,0.9,3.5,0.1,3.8,4.5,62.440483079991694,37.559516920008306,77164
81,CT-01,0,362392,0,40.9,519263,67.8,15.3,0.3,5.6,0.1,6.3,4.6,64.22705422123553,35.77294577876447,75502
82,CT-02,0,377818,0,42.3,548326,86.2,4.3,0.4,3.8,0.0,2.4,3.0,64.13712384558828,35.86287615441173,80280
83,CT-03,0,354399,0,41.3,545247,71.5,15.5,0.2,4.2,0.0,5.4,3.2,59.369984051747025,40.630015948252975,70574
84,CT-04,0,369791,0,40.0,487562,72.3,12.4,0.1,5.5,0.1,6.1,3.6,69.80765759228649,30.192342407713518,101646
85,CT-05,0,359336,0,41.9,519076,75.5,8.0,0.2,4.2,0.0,8.0,4.1,59.76483766592822,40.23516233407178,73616
86,DE-AL,0,504010,0,41.4,725178,67.7,22.5,0.4,3.8,0.0,2.4,3.1,59.69943545097672,40.30056454902328,70176
87,FL-01,1,443097,1,38.8,606302,76.4,12.9,0.4,2.4,0.1,2.3,5.5,60.79917101749631,39.20082898250369,58358
88,FL-02,1,393088,1,42.7,561491,81.2,12.6,0.2,2.0,0.2,1.3,2.5,55.204230665402264,44.795769334597736,54087
89,FL-03,1,398282,1,37.9,579748,74.7,16.4,0.3,3.3,0.2,1.8,3.4,61.27038014312747,38.729619856872525,56005
90,FL-04,1,510715,1,39.3,625074,79.5,9.9,0.4,4.6,0.1,1.9,3.6,68.7230253779673,31.2769746220327,77026
91,FL-05,0,342746,0,34.7,553978,44.5,47.1,0.4,2.4,0.0,2.8,2.8,51.868360153402385,48.131639846597615,43667
92,FL-06,1,452468,1,48.2,630741,79.7,10.9,0.2,1.9,0.1,4.7,2.5,57.11855603567499,42.88144396432501,55281
93,FL-07,0,414920,0,36.9,609432,73.9,11.6,0.4,5.1,0.1,6.0,2.9,70.71771910487489,29.28228089512511,66748
94,FL-08,1,467055,1,48.3,615259,82.8,9.0,0.2,2.2,0.1,1.8,3.8,62.32459578561412,37.67540421438588,58740
95,FL-09,0,438440,0,38.0,641755,74.0,13.1,0.4,3.0,0.1,6.4,3.0,56.55547556195505,43.44452443804496,54878
96,FL-10,0,381930,0,36.1,535381,54.2,29.5,0.2,5.2,0.0,6.9,4.1,60.49348431194398,39.50651568805601,61737
97,FL-11,1,485989,1,56.0,669669,86.5,7.4,0.4,1.5,0.0,1.8,2.5,55.75349215092661,44.24650784907339,52749
98,FL-12,1,459697,1,46.5,625818,86.3,5.5,0.3,3.0,0.1,1.3,3.5,58.90396266253168,41.096037337468324,56761
99,FL-13,0,410780,0,47.8,585038,78.9,12.1,0.2,3.5,0.1,1.5,3.7,62.69722414495772,37.30277585504228,56612
100,FL-14,0,379538,0,36.4,571062,68.6,19.0,0.1,4.4,0.1,3.7,4.1,62.804629898381194,37.195370101618806,60022
101,FL-15,1,398200,1,39.4,580626,73.9,14.1,0.5,3.2,0.2,5.5,2.6,56.24902523100036,43.75097476899964,57496
102,FL-16,1,490589,1,48.3,665073,82.2,9.7,0.2,2.2,0.0,3.4,2.3,60.88483714696561,39.115162853034384,68071
103,FL-17,1,422675,1,52.7,635931,85.7,7.6,0.4,1.3,0.0,3.2,1.8,52.28296691835968,47.71703308164032,53693
104,FL-18,1,454097,1,48.1,604583,79.6,12.8,0.3,2.3,0.1,2.0,2.9,61.444138754508415,38.555861245491585,68744
105,FL-19,1,456659,1,52.0,637525,85.0,7.8,0.1,1.9,0.1,3.6,1.5,60.930190034984264,39.069809965015736,67598
106,FL-20,0,329313,0,36.9,491860,38.4,52.9,0.3,2.5,0.0,2.2,3.6,48.404912708012944,51.59508729198706,49223
107,FL-21,0,411406,0,47.0,549008,74.4,16.3,0.4,2.7,0.0,3.4,2.8,64.28979174959346,35.71020825040653,65394
108,FL-22,0,413647,0,45.8,549615,76.8,15.1,0.1,3.5,0.1,1.9,2.5,67.89441071949103,32.10558928050896,69452
109,FL-23,0,391205,0,41.8,512459,72.0,15.2,0.3,4.9,0.1,3.9,3.5,68.44131333506421,31.55868666493579,69198
110,FL-24,0,298628,0,37.3,464185,43.3,47.1,0.2,1.1,0.1,5.6,2.5,47.51496368698436,52.48503631301564,44275
111,FL-25,1,322843,1,42.8,466682,90.5,4.1,0.1,1.1,0.0,2.9,1.2,49.278629818509074,50.72137018149092,56270
112,FL-26,1,350423,0,40.3,481612,81.2,11.2,0.3,1.4,0.0,3.5,2.3,54.422297887488746,45.57770211251125,65584
113,FL-27,1,347972,0,42.1,457408,85.6,5.7,0.1,2.4,0.0,4.1,2.1,63.46983646441328,36.530163535586716,60384
114,GA-01,1,332905,1,36.6,559876,62.1,30.7,0.4,1.7,0.1,2.4,2.8,55.96932425761505,44.03067574238495,55542
115,GA-02,0,278056,0,37.3,502891,41.6,52.8,0.3,1.0,0.1,2.1,2.0,50.36278416476221,49.63721583523779,39728
116,GA-03,1,380895,1,38.9,554271,68.6,25.4,0.2,2.1,0.1,1.6,2.0,55.999909295786445,44.000090704213555,66614
117,GA-04,0,357719,0,36.5,533857,27.3,60.9,0.3,4.6,0.2,4.2,2.5,59.84353370811235,40.15646629188765,60128
118,GA-05,0,363156,0,34.0,596247,34.8,55.4,0.4,5.2,0.2,1.7,2.3,68.88364013744487,31.116359862555132,60247
119,GA-06,0,400936,1,39.2,502565,66.7,13.8,1.4,11.7,0.0,3.2,3.3,80.80090407776743,19.19909592223257,100110
120,GA-07,0,379758,1,36.2,501852,51.3,21.5,0.5,15.8,0.0,7.7,3.1,67.84602206393131,32.153977936068685,80926
121,GA-08,1,316121,1,37.6,522995,61.4,31.4,0.7,1.7,0.1,2.3,2.5,52.0781271644272,47.92187283557279,50745
122,GA-09,1,382279,1,41.3,567736,87.4,6.5,0.2,1.4,0.0,2.4,2.1,52.43311249681726,47.56688750318274,59728
123,GA-10,1,387273,1,37.7,563658,67.4,26.1,0.1,2.5,0.0,1.3,2.6,56.941297560166895,43.058702439833105,61151
124,GA-11,1,413230,1,37.6,552348,71.2,17.8,0.5,3.1,0.0,5.0,2.4,68.6757622666992,31.324237733300812,76640
125,GA-12,1,317584,1,36.0,547340,58.1,34.3,0.1,1.7,0.0,2.3,3.4,50.52040952001063,49.47959047998936,50217
126,GA-13,0,367810,0,35.0,550568,29.0,61.6,0.2,2.7,0.0,3.5,3.0,58.01464454223984,41.98535545776016,66203
127,GA-14,1,319995,1,38.3,525633,84.6,8.7,0.3,1.0,0.1,1.9,3.3,47.617368971030736,52.38263102896927,56150
128,HI-01,0,280956,0,39.1,518980,16.8,2.4,0.2,50.5,8.0,1.8,20.3,65.81124094135484,34.188759058645154,86674
129,HI-02,0,293513,0,40.0,495055,31.7,1.4,0.7,26.4,13.7,1.7,24.4,60.569933930941666,39.43006606905834,79985
130,IA-01,1,420577,1,39.2,581804,90.5,4.2,0.4,1.6,0.1,0.9,2.3,59.824930018773,40.17506998122699,61542
131,IA-02,1,410665,1,39.0,589622,88.6,4.9,0.3,2.5,0.0,1.2,2.6,60.02705189969182,39.97294810030818,59569
132,IA-03,0,457240,1,37.4,614259,88.2,5.2,0.3,3.7,0.1,0.8,1.7,65.21933716217586,34.78066283782414,67681
133,IA-04,1,398052,1,38.9,563102,92.5,2.0,0.5,1.7,0.1,1.2,2.1,60.360617072664134,39.639382927335866,58270
134,ID-01,1,467141,1,38.8,682493,88.7,0.8,1.2,1.2,0.1,4.4,3.6,63.05203974005648,36.94796025994352,62886
135,ID-02,1,400220,1,34.6,600137,90.1,0.6,1.4,1.7,0.1,3.1,3.0,64.09415396488521,35.9058460351148,58708
136,IL-01,0,334163,0,38.8,525671,42.0,50.5,0.1,2.6,0.0,2.6,2.1,63.24725430319996,36.75274569680004,56680
137,IL-02,0,305536,0,37.9,504853,37.9,55.9,0.1,0.7,0.0,3.1,2.3,56.91777988890756,43.08222011109243,51472
138,IL-03,0,316987,0,40.0,485828,77.3,5.3,0.5,4.7,0.0,9.6,2.6,58.50987187255235,41.49012812744765,75411
139,IL-04,0,228702,0,34.0,396371,58.1,4.5,0.6,4.4,0.1,28.9,3.4,49.41299713933236,50.58700286066764,59548
140,IL-05,0,371134,0,35.8,535070,79.3,3.0,0.3,7.0,0.1,7.2,3.1,76.16788720078698,23.83211279921303,94144
141,IL-06,0,410398,0,42.1,517458,82.0,2.1,0.2,9.5,0.0,3.1,3.0,76.47536295045352,23.52463704954648,105292
