,District,Party,Total 2020,Winner 2016,Median Age (years),"Citizen, 18 and over population",White (percent),Black or African American (percent),American Indian and Alaska Native (percent),Asian (percent),Native Hawaiian and Other Pacific Islander (percent),Other (percent),Two or more races (percent),Postsecondary (percent),Secondary or less (percent),Median Household Income (dollars)
288,NY-18,0,355716,1,39.7,530428,77.2,10.6,0.3,3.1,0.1,5.4,3.3,64.14939056713285,35.850609432867145,91723
289,NY-19,0,367482,1,45.4,555732,87.1,4.9,0.3,1.6,0.0,3.0,3.1,59.11848169401003,40.88151830598997,67004
290,NY-20,0,366382,0,39.2,560724,78.3,9.3,0.1,5.3,0.1,2.2,4.8,66.87538517587855,33.12461482412146,71156
291,NY-21,1,323276,1,41.5,546491,92.5,2.8,0.5,1.2,0.0,0.7,2.2,53.9820334507359,46.0179665492641,57320
292,NY-22,1,323896,1,41.0,533819,88.7,3.9,0.2,3.0,0.0,1.0,3.3,57.62997482301417,42.370025176985834,56615
293,NY-23,1,321276,1,41.2,540476,90.4,2.9,0.6,2.4,0.0,1.3,2.4,58.80091917115495,41.199080828845055,53769
294,NY-24,1,349961,0,40.4,539232,83.3,8.5,0.5,2.8,0.0,1.2,3.8,61.936925590333004,38.063074409666996,60899
295,NY-25,0,363605,0,39.1,547133,75.0,15.8,0.2,3.7,0.2,2.0,3.1,67.74498278982793,32.25501721017206,61336
296,NY-26,0,335256,0,38.1,540265,70.4,18.3,0.6,4.7,0.0,3.0,3.1,63.81846975475675,36.18153024524326,52122
297,NY-27,1,394811,1,44.4,568055,92.7,2.6,0.6,1.0,0.0,1.2,1.9,62.539511351006446,37.460488648993554,69186
298,OH-01,1,390226,1,36.7,550781,70.7,21.4,0.0,4.0,0.1,0.7,3.0,62.16211977037215,37.83788022962785,63648
299,OH-02,1,385916,1,39.9,555323,86.2,9.2,0.1,1.4,0.0,0.5,2.6,58.413518161354375,41.58648183864563,61220
300,OH-03,0,330494,0,32.6,565727,52.8,34.6,0.2,4.4,0.1,3.2,4.7,58.91991308523019,41.080086914769815,51435
301,OH-04,1,353273,1,41.4,550776,89.3,5.2,0.2,1.2,0.1,0.9,3.1,50.2050627044564,49.79493729554359,60212
302,OH-05,1,385874,1,39.8,553726,91.2,3.0,0.3,1.4,0.1,1.4,2.6,58.832730019382055,41.167269980617945,63702
303,OH-06,1,344239,1,43.5,549999,95.2,2.1,0.0,0.5,0.0,0.5,1.6,46.03239321257457,53.96760678742544,52442
304,OH-07,1,363357,1,41.4,553091,92.1,4.2,0.2,0.7,0.0,0.4,2.4,47.53403282216841,52.46596717783159,57897
305,OH-08,1,368357,1,39.0,547822,87.5,6.8,0.1,2.4,0.0,0.8,2.3,53.09729970830619,46.902700291693805,62845
306,OH-09,0,313540,0,37.5,520939,74.5,15.9,0.4,2.1,0.1,2.6,4.4,54.10589801103841,45.89410198896159,45076
307,OH-10,1,367302,1,38.7,552940,75.5,16.2,0.4,2.1,0.1,1.2,4.4,63.88406451283009,36.11593548716991,56595
308,OH-11,0,316805,0,39.3,525057,39.8,52.9,0.4,2.4,0.0,1.5,3.0,59.91598423088641,40.08401576911359,42207
309,OH-12,1,446172,1,39.2,588304,86.5,5.0,0.2,4.9,0.0,0.6,2.8,66.75040691843546,33.24959308156454,76631
310,OH-13,0,335896,0,41.7,560255,81.2,12.6,0.1,2.4,0.0,0.5,3.2,52.968882469306365,47.03111753069363,46582
311,OH-14,1,413841,1,43.8,553234,90.2,4.9,0.1,1.9,0.0,0.5,2.3,61.31144806833142,38.68855193166858,67698
312,OH-15,1,393949,1,38.8,594787,89.3,4.7,0.2,2.8,0.0,0.5,2.4,59.441190836832256,40.55880916316774,69844
313,OH-16,1,411139,1,43.5,556708,92.7,1.9,0.1,2.5,0.0,0.8,1.9,62.85653133475788,37.14346866524212,68534
314,OK-01,1,337495,1,36.6,574642,71.1,8.6,6.2,3.3,0.1,2.6,8.0,61.86032049984947,38.13967950015053,59660
315,OK-02,1,290575,1,40.3,565049,65.9,3.2,17.2,0.7,0.2,1.9,11.0,48.30842267261393,51.69157732738607,45207
316,OK-03,1,311625,1,37.0,568862,79.8,3.6,6.7,1.4,0.2,2.3,6.0,52.692332951083856,47.307667048916144,54629
317,OK-04,1,315917,1,36.5,594411,75.1,7.1,5.9,2.4,0.1,1.8,7.5,57.43528686320043,42.56471313679957,59463
318,OK-05,1,305087,1,35.3,572095,70.1,13.2,4.8,3.4,0.1,2.9,5.5,59.410258442615124,40.589741557384876,54928
319,OR-01,0,472277,0,38.0,617472,78.5,1.8,0.7,9.0,0.4,4.8,4.9,70.81766931258599,29.182330687414005,81473
320,OR-02,1,470391,1,42.3,638108,89.7,0.8,2.3,1.1,0.2,2.1,3.7,60.58624414185192,39.41375585814808,57870
321,OR-03,0,479782,0,37.6,641510,78.2,4.8,0.8,7.4,0.6,2.6,5.6,72.07825666588509,27.921743334114918,73091
322,OR-04,0,470962,0,41.6,650640,87.9,0.9,0.9,2.3,0.2,2.7,5.0,65.51406858622191,34.48593141377809,55886
323,OR-05,0,463820,0,39.9,614474,83.8,0.9,1.2,2.9,0.2,5.5,5.4,65.49803697014185,34.50196302985816,68757
324,PA-01,1,445566,0,43.5,542506,85.4,4.7,0.1,6.2,0.0,1.6,2.1,66.47825122293949,33.52174877706051,93474
325,PA-02,0,295805,0,35.7,491451,45.0,25.2,0.4,8.8,0.0,16.6,4.0,44.40150103481547,55.59849896518454,46248
326,PA-03,0,392103,0,33.6,573719,33.3,56.4,0.6,5.6,0.1,1.1,3.0,63.221390966114285,36.778609033885715,49897
327,PA-04,0,449359,0,41.2,552061,79.6,9.7,0.1,6.7,0.0,1.2,2.7,69.92614573144566,30.073854268554346,91030
328,PA-05,0,404738,0,38.6,525272,63.3,25.8,0.3,7.0,0.1,1.2,2.3,61.150429502263734,38.849570497736266,71880
329,PA-06,0,407525,0,39.3,533141,78.0,7.0,0.2,4.7,0.0,7.0,3.1,65.74189890686178,34.25810109313821,85665
330,PA-07,0,384606,0,40.6,550950,82.0,7.5,0.2,3.0,0.0,4.1,3.1,55.82469600413067,44.17530399586933,69105
331,PA-08,0,356564,1,43.0,543310,84.3,7.9,0.3,1.9,0.0,3.4,2.2,52.61728315849133,47.38271684150867,56149
332,PA-09,1,359619,1,44.2,556670,92.2,2.6,0.3,1.2,0.0,2.1,1.4,45.717195083875,54.282804916125,62078
333,PA-10,1,396974,1,40.3,558693,78.1,11.4,0.2,4.1,0.0,2.3,3.7,56.67465698226699,43.32534301773301,67155
334,PA-11,1,387414,1,39.5,555086,89.1,3.7,0.1,1.8,0.0,2.1,3.2,50.15993411774685,49.84006588225314,68811
335,PA-12,1,345181,1,41.1,552013,93.8,2.2,0.2,1.7,0.1,0.4,1.7,47.812027995830405,52.187972004169595,55203
336,PA-13,1,369191,1,44.2,548308,93.4,3.2,0.4,0.5,0.0,0.8,1.7,43.73440594638254,56.26559405361746,56618
337,PA-14,1,380075,1,45.6,545910,93.4,3.0,0.0,0.9,0.0,0.4,2.2,54.39152594345186,45.60847405654814,59165
338,PA-15,1,351941,1,44.8,543052,95.2,2.4,0.1,0.7,0.0,0.3,1.3,45.27608144812877,54.72391855187123,53741
339,PA-16,1,363010,1,43.0,537685,90.6,4.5,0.2,1.1,0.0,0.7,3.0,52.45657074658533,47.543429253414665,54627
340,PA-17,0,436600,1,43.5,551560,88.1,6.0,0.1,2.7,0.0,0.5,2.6,68.20757977597833,31.79242022402167,70857
341,PA-18,0,392002,0,38.5,548814,73.5,18.1,0.1,4.3,0.0,0.7,3.3,66.41076166009842,33.589238339901584,58743
342,RI-01,0,241561,0,39.3,391053,75.9,8.6,0.4,3.2,0.0,7.3,4.7,58.65158400967508,41.34841599032492,66652
343,RI-02,0,273437,0,40.8,409745,81.5,6.2,0.3,3.8,0.0,4.4,3.7,62.370557084383606,37.6294429156164,74180
344,SC-01,1,427594,1,39.8,615755,72.0,19.0,0.4,2.1,0.5,2.9,3.0,68.93278592448307,31.067214075516926,77185
345,SC-02,1,364935,1,39.0,541862,69.4,24.6,0.4,1.9,0.1,1.2,2.4,63.087874272359855,36.912125727640145,60781
346,SC-03,1,335118,1,40.6,540303,75.1,19.2,0.2,1.0,0.0,1.8,2.6,54.155572443845934,45.844427556154066,50815
347,SC-04,1,362743,1,38.4,555462,73.5,17.6,0.4,2.6,0.2,3.2,2.5,62.20143761766216,37.79856238233784,60731
348,SC-05,1,367759,1,40.1,553076,68.1,26.2,0.5,1.7,0.0,0.9,2.6,58.288058951012566,41.71194104898744,56282
349,SC-06,0,290095,0,36.9,510628,38.1,54.3,0.2,1.2,0.1,3.9,2.2,53.050800870527816,46.949199129472184,41128
350,SC-07,1,365085,1,44.6,575255,67.5,27.8,0.5,1.1,0.0,1.4,1.7,51.41857301550645,48.58142698449355,49494
351,SD-AL,1,422609,1,37.7,653394,84.1,2.4,8.6,1.3,0.2,0.7,2.8,60.85450932938944,39.145490670610556,59533
352,TN-01,1,318556,1,44.0,570495,94.1,2.3,0.4,0.8,0.1,0.5,1.9,49.32495488262621,50.6750451173738,47478
353,TN-02,1,360121,1,40.5,587665,89.0,5.9,0.3,1.6,0.0,0.7,2.5,59.96296614425034,40.03703385574966,57777
354,TN-03,1,335599,1,41.6,573580,84.4,10.5,0.3,1.4,0.1,1.2,2.1,55.28958001714216,44.71041998285784,52491
355,TN-04,1,354562,1,37.8,596604,83.3,9.9,0.2,2.0,0.0,1.5,3.0,53.4734591518503,46.52654084814969,59461
356,TN-05,0,348420,0,35.0,564374,66.5,24.4,0.3,3.4,0.1,3.1,2.2,66.7759211549482,33.224078845051814,63295
357,TN-06,1,376800,1,40.9,608091,89.4,5.2,0.4,1.1,0.0,2.1,1.9,52.10900295412688,47.89099704587312,59421
358,TN-07,1,367606,1,38.2,590210,83.4,9.7,0.3,2.1,0.1,0.9,3.5,57.446056998932114,42.553943001067886,62720
359,TN-08,1,344842,1,41.2,536275,73.0,22.0,0.3,1.7,0.0,1.2,1.8,56.612001293408184,43.387998706591816,60152
360,TN-09,0,246484,0,34.1,502286,27.6,65.1,0.1,2.4,0.0,3.2,1.6,54.567142537208625,45.432857462791375,43708
361,TX-01,1,305555,1,37.4,518180,77.5,17.2,0.4,1.1,0.0,1.2,2.5,56.19744257593771,43.80255742406229,54396
362,TX-02,1,350446,1,35.9,519981,66.4,11.9,0.5,8.3,0.0,9.7,3.2,67.88789916441112,32.112100835588876,80922
363,TX-03,1,430583,1,37.5,584690,67.2,9.9,0.3,17.8,0.1,1.8,2.9,76.83728612669279,23.162713873307204,95619
364,TX-04,1,347229,1,39.1,562550,80.4,10.9,0.7,1.6,0.1,3.0,3.3,56.45569234777519,43.54430765222481,60060
365,TX-05,1,283292,1,36.4,495961,75.3,15.1,0.5,2.8,0.0,4.0,2.2,50.03148713750433,49.96851286249567,57026
366,TX-06,1,344549,1,35.2,554164,64.1,21.1,0.3,4.8,0.3,6.3,3.2,62.38554805002903,37.61445194997097,71161
367,TX-07,0,317555,0,35.6,466858,60.0,15.5,0.7,12.1,0.1,8.3,3.4,73.41617560172322,26.58382439827678,73730
368,TX-08,1,388622,1,37.9,600690,83.0,8.4,0.3,3.0,0.0,2.5,2.7,60.74447317282774,39.25552682717226,78615
369,TX-09,0,236216,0,34.4,434566,34.5,39.0,0.3,12.1,0.0,11.7,2.3,52.79100062089872,47.20899937910128,49147
370,TX-10,1,421154,1,35.7,604700,70.1,12.7,0.6,5.1,0.0,8.3,3.3,67.72220128869691,32.277798711303085,80528
371,TX-11,1,297883,1,35.6,543743,83.1,4.3,0.6,1.1,0.1,8.2,2.6,54.665045530681134,45.334954469318866,64070
372,TX-12,1,371220,1,35.9,584149,78.9,9.7,0.8,3.8,0.1,3.8,3.0,61.76452087710249,38.23547912289751,73000
373,TX-13,1,277737,1,37.0,495640,85.1,5.5,0.8,2.4,0.2,3.1,2.8,51.696706792601134,48.303293207398866,54004
374,TX-14,1,314976,1,37.3,532061,73.1,19.3,0.2,3.2,0.1,2.0,2.1,57.457302810955944,42.542697189044056,67459
375,TX-15,0,237674,0,31.8,450561,83.8,1.9,0.2,1.2,0.0,10.3,2.6,46.366915948310144,53.63308405168985,48113
376,TX-16,0,242067,0,32.4,476360,79.0,3.8,0.6,1.3,0.0,12.5,2.7,55.700231111435905,44.299768888564095,49013
377,TX-17,1,315612,1,33.3,558009,76.1,13.7,0.5,4.5,0.1,1.7,3.4,62.03804112262038,37.961958877379615,58929
378,TX-18,0,250836,0,32.4,489098,51.0,33.7,0.4,4.4,0.1,8.1,2.2,48.96172153583651,51.03827846416349,48625
379,TX-19,1,270656,1,33.9,516199,83.6,6.2,0.4,1.6,0.1,5.3,2.8,54.13946313536767,45.86053686463234,55278
380,TX-20,0,277918,0,32.6,547526,78.5,5.7,1.1,3.0,0.1,7.7,3.8,54.8562056688788,45.14379433112119,54908
381,TX-21,1,460677,1,38.9,628280,84.7,4.2,0.8,3.8,0.0,3.1,3.5,73.29242167276622,26.707578327233776,73472
382,TX-22,1,421488,1,36.7,610720,59.7,14.5,0.6,18.3,0.1,3.2,3.7,72.01548754072934,27.984512459270665,101658
383,TX-23,1,302412,0,34.4,510863,84.3,3.5,0.8,2.0,0.2,6.7,2.5,50.03330225123218,49.96669774876782,59074
384,TX-24,1,347697,1,35.6,529495,62.2,13.1,0.5,15.5,0.3,4.7,3.6,72.44444031974659,27.55555968025342,79667
385,TX-25,1,400230,1,37.8,596070,82.4,7.4,0.5,3.8,0.3,2.1,3.6,65.86106660599475,34.13893339400526,79975
386,TX-26,1,441183,1,36.3,625355,76.0,9.1,0.6,7.8,0.1,2.6,3.8,73.18804628562256,26.811953714377434,96307
387,TX-27,1,278915,1,36.7,523961,85.7,4.9,0.2,1.6,0.0,5.5,2.0,50.00533769838446,49.99466230161554,55987
388,TX-28,0,243744,0,31.2,441163,87.7,3.9,0.5,0.7,0.3,4.6,2.4,46.919731177892714,53.08026882210729,53597
389,TX-29,0,161080,0,30.3,394689,72.2,10.5,0.3,1.8,0.0,13.5,1.6,35.10926339680866,64.89073660319134,48300
390,TX-30,0,266014,0,33.0,476002,47.9,41.2,0.3,1.8,0.0,7.0,1.9,49.193016274402105,50.806983725597895,51819
391,TX-31,1,404642,1,35.0,625582,74.6,12.3,0.5,5.9,0.2,2.1,4.5,67.1604322428872,32.83956775711279,75813
392,TX-32,0,345210,0,35.3,497892,67.4,14.9,0.5,8.2,0.1,5.2,3.7,70.35596346524923,29.64403653475076,76464
393,TX-33,0,160757,0,30.6,354913,60.8,16.2,0.4,2.1,0.0,18.7,1.8,34.175101224244905,65.8248987757551,45997
394,TX-34,0,207201,0,32.5,429232,91.7,1.4,0.3,0.5,0.0,4.6,1.5,42.50708991963775,57.49291008036225,42092
395,TX-35,0,277929,0,33.0,570039,76.9,9.2,0.6,1.8,0.0,8.8,2.7,51.708287028958225,48.291712971041775,53898
396,TX-36,1,308153,1,37.0,525600,82.4,9.0,0.5,1.8,0.0,3.6,2.8,50.91814673446105,49.081853265538946,62206
397,UT-01,1,358818,1,31.1,529838,91.4,0.9,1.1,1.7,0.3,1.6,2.9,64.47204427277319,35.52795572722681,73964
398,UT-02,1,370162,1,33.4,534997,83.4,1.5,1.2,3.1,1.6,6.3,3.0,66.76319131899385,33.23680868100616,69852
399,UT-03,1,374671,1,28.7,523751,90.3,0.7,1.5,1.9,0.8,1.3,3.4,74.64490914131339,25.355090858686612,78931
400,UT-04,1,384026,1,31.5,545663,84.5,1.5,0.6,2.8,1.2,6.0,3.6,65.29263089122048,34.70736910877952,80918
401,VA-01,1,453853,1,39.3,592356,72.4,16.4,0.2,3.6,0.0,3.2,4.2,64.28606561408687,35.713934385913134,90181
402,VA-02,0,362346,1,36.9,553005,67.2,19.3,0.3,6.2,0.1,2.2,4.9,69.16272117792197,30.837278822078034,74704
403,VA-03,0,347932,0,35.1,567916,43.3,47.4,0.1,2.6,0.1,2.0,4.4,59.63798047294785,40.36201952705215,56455
404,VA-04,0,398796,0,37.8,589257,51.3,41.1,0.3,1.7,0.0,2.2,3.4,58.941654335650796,41.0583456643492,60407
405,VA-05,1,405973,1,43.2,579655,74.9,19.4,0.4,1.7,0.0,0.7,2.8,57.8872256968782,42.112774303121796,57615
406,VA-06,1,386961,1,39.7,585724,82.2,11.9,0.3,1.5,0.1,1.1,2.9,55.462376501031954,44.53762349896805,59939
407,VA-07,0,458367,1,39.8,579534,69.0,18.0,0.2,5.4,0.1,4.0,3.3,65.42872553104219,34.57127446895781,81364
408,VA-08,0,401441,0,36.5,535969,62.9,14.1,0.3,12.2,0.0,5.8,4.6,78.97268679987226,21.027313200127736,111627
409,VA-09,1,347822,1,43.7,567777,90.8,5.5,0.2,1.5,0.1,0.4,1.5,53.22061470903472,46.77938529096528,46909
410,VA-10,0,478159,0,38.8,563408,69.1,8.0,0.3,15.6,0.1,2.5,4.5,75.8915249946601,24.108475005339894,132226
411,VA-11,0,399109,0,37.0,512022,55.5,13.9,0.5,18.7,0.2,7.0,4.4,76.3572440814289,23.6427559185711,118099
412,VT-AL,0,365486,0,42.8,498705,93.8,1.5,0.5,1.4,0.1,0.3,2.5,63.45590972317458,36.54409027682542,63001
413,WA-01,0,435779,0,38.8,533647,75.1,1.5,1.1,13.0,0.3,3.7,5.3,73.04598391163405,26.95401608836595,106190
414,WA-02,0,414020,0,38.9,566650,76.1,3.3,1.7,9.5,0.4,3.5,5.4,68.47638142435602,31.523618575643976,75095
415,WA-03,1,423462,1,39.8,556214,85.9,1.6,0.7,3.2,0.6,2.1,5.8,62.28344560023643,37.71655439976357,70936
416,WA-04,1,309502,1,34.4,446137,75.2,1.4,2.7,1.4,0.3,15.2,3.8,51.57012794761236,48.42987205238764,59872
417,WA-05,1,406614,1,38.2,562834,87.3,1.7,1.7,2.5,0.5,1.6,4.7,68.28040459442984,31.719595405570168,57837
418,WA-06,0,425315,0,41.9,567917,80.8,4.0,2.1,3.8,0.5,1.8,7.0,67.28778220836409,32.71221779163591,72169
419,WA-07,0,478306,0,35.8,609219,69.7,5.0,0.5,14.7,0.4,2.9,6.8,82.73991852946556,17.260081470534434,100991
420,WA-08,0,419669,0,38.3,524468,72.4,3.1,1.2,9.6,1.0,6.9,5.8,66.11960700407306,33.88039299592694,95968
421,WA-09,0,361921,0,36.3,481044,49.2,12.0,0.7,23.9,1.1,6.5,6.7,70.61451631602736,29.38548368397264,90353
422,WA-10,0,385791,0,37.0,560905,71.3,6.4,1.4,7.3,1.6,3.8,8.1,62.82439011305876,37.175609886941245,75114
423,WI-01,1,409363,1,40.9,540501,86.9,6.0,0.3,2.2,0.1,2.1,2.4,60.9108868408585,39.0891131591415,68695
424,WI-02,0,466777,0,37.2,579336,85.9,4.4,0.4,4.5,0.1,1.9,2.8,71.30218535098706,28.697814649012948,72036
425,WI-03,0,393809,1,39.2,565661,93.2,1.5,0.5,2.5,0.1,0.8,1.5,60.31193066042086,39.688069339579144,59426
426,WI-04,0,317863,0,32.8,487730,50.8,33.7,0.7,4.0,0.0,7.1,3.7,57.03399898600843,42.96600101399157,47421
427,WI-05,1,450097,1,42.5,570227,90.5,2.4,0.3,3.1,0.1,1.5,2.2,67.30365842173306,32.69634157826694,77386
428,WI-06,1,409886,1,42.0,553146,91.6,2.0,0.5,2.6,0.2,1.2,1.9,58.801771487950916,41.198228512049084,63251
429,WI-07,1,420340,1,45.0,556088,93.2,0.8,2.1,1.7,0.1,0.3,1.9,57.02637011327894,42.97362988672106,60706
430,WI-08,1,421811,1,40.8,560199,89.0,1.7,2.6,2.5,0.0,1.9,2.3,58.66986194175843,41.33013805824157,65346
431,WV-01,1,270510,1,42.3,482965,93.6,2.5,0.3,0.9,0.0,0.7,1.8,50.744239565290385,49.255760434709615,51480
432,WV-02,1,282556,1,42.3,485281,91.8,4.4,0.2,0.9,0.0,0.4,2.3,48.39589123374971,51.60410876625029,52166
433,WV-03,1,241586,1,44.2,452043,93.9,4.1,0.0,0.5,0.0,0.1,1.3,41.763816592693146,58.236183407306854,42553
434,WY-AL,1,275026,1,38.1,434852,90.9,1.2,2.4,0.8,0.1,1.9,2.7,63.237510403311056,36.76248959668894,65003
